x	y
392	4879
4059	2298
4213	1848
256	3202
3014	481
2345	3919
2407	921
3562	1127
3931	3145
19	4434
655	2419
3205	2222
118	2428
2903	228
2490	3926
4187	3792
495	580
879	226
3617	1783
1587	678
2503	1496
2236	67
4269	4743
2948	1503
421	670
4725	1732
1978	4785
2702	4294
499	1733
2983	4698
2887	3803
160	400
4710	783
2454	4880
3843	3413
3026	148
4917	1976
2068	333
1217	171
1194	964
2384	3604
102	3046
2142	1158
1821	2147
4722	2412
3507	2357
741	1635
3442	1946
1535	4794
217	4870
4430	2032
3507	1962
1948	4015
1678	224
1266	4848
1204	906
1939	1187
1424	3846
2384	3276
4120	1198
3822	1804
4295	4400
4867	3911
700	4773
3636	1585
1807	944
4215	4516
699	675
873	4769
1654	2136
3387	4179
3593	1960
452	1018
1726	2171
1626	46
1305	2896
4489	3757
3978	383
474	2901
4479	1091
1099	1237
1374	516
2859	3124
4058	751
1468	148
4955	3200
1546	78
4346	3247
1842	2807
1167	2612
4588	3070
3089	3085
1831	1257
3526	2380
4665	3709
2903	2638
482	277
1433	2674
4821	1772
4115	1374
3294	2348
3458	3614
4698	3377
27	806
2262	4647
3608	4576
2226	1111
2210	4775
1008	3153
1593	4256
1370	1185
1402	2988
2719	487
1868	667
4543	1476
2705	3760
1695	2995
4378	2849
4322	448
4250	757
3085	2910
3157	1749
2666	590
1145	2788
2000	1811
4101	1103
3548	584
2741	3880
2450	3282
3669	1132
360	1358
720	3640
1671	2884
4832	2958
1764	2519
1472	361
3019	1122
902	1340
1775	1803
2696	237
2682	4799
1131	4900
773	941
1320	2539
4003	3437
1587	444
2322	3473
2326	4558
745	4210
3	4043
2149	1202
2822	3190
544	4504
1116	3935
1859	2817
1658	1498
520	4616
2834	3062
965	2605
228	4588
1286	1807
1113	3403
2109	3289
3615	3365
4998	2474
764	2571
3251	2355
1128	423
4143	2700
2423	984
1671	409
3205	4269
4529	3321
661	1474
2662	3693
2474	185
1519	2731
1648	1374
2483	1762
4524	47
3053	2373
3268	3446
4424	1935
2486	3167
3387	4886
466	3062
2633	3061
3026	328
1931	1286
4442	517
4599	4970
4550	972
2381	2832
283	1402
4684	4051
1438	1071
3986	3296
653	142
3021	2511
3749	1594
2462	874
3894	2994
4536	1181
2051	1558
904	454
1503	3995
2734	500
4252	3531
2783	3655
1750	844
3227	4825
3773	4584
746	4070
3074	1541
1006	71
3773	4198
4964	3004
256	1540
3031	4534
1684	1244
2843	4330
3987	1855
1334	4460
2859	4191
4083	3878
4580	1214
3424	3628
2763	963
4590	1625
4085	4803
4985	3385
1166	1455
746	1121
2924	4918
1603	2948
4082	3492
1455	3293
2713	445
3593	4679
3716	1668
2311	3444
3768	3809
1127	1731
4362	872
1424	1144
690	1306
143	2473
4988	706
356	1071
540	4503
4595	1766
1276	4157
2150	1596
2361	1943
1145	4617
3284	1468
955	958
4755	1
1741	842
2314	2760
2112	1123
4267	1352
944	2121
519	858
4671	1326
3809	2674
2671	3196
1288	3721
2830	3183
1524	2796
256	2111
4473	241
1319	4841
140	3411
54	4286
1114	4347
2223	4124
2706	2864
2590	229
1152	4936
1466	934
2651	259
786	574
489	1426
606	1769
1594	1528
2535	1165
3582	1320
2696	1588
3202	4188
3298	796
1401	3391
3281	3416
2593	4187
594	3174
4022	2801
3469	3100
2599	3090
2653	2161
4578	905
4651	842
584	1151
4534	4157
219	3099
4666	336
2005	4842
4325	105
2117	2243
4392	1017
2646	2164
668	2246
4234	4507
809	2332
3389	364
4994	2146
2883	2540
2848	3499
4046	4034
1685	3803
1875	3665
4194	4940
4747	276
3313	3158
185	549
606	4154
615	4746
42	973
2820	3645
4568	1046
75	364
4543	4959
3212	132
3568	4414
4750	4654
446	2517
4619	4866
1902	2111
1120	471
418	4285
755	115
3723	3439
639	3144
3577	2729
2091	1364
3008	2240
2730	1379
18	3712
4260	1248
4146	4363
174	4267
3186	2516
2614	2000
2692	301
1839	2136
240	3864
3954	2011
1528	3873
563	1417
2099	2577
1694	1798
452	1767
1767	4958
4103	2014
1695	1425
567	3681
3856	4056
4868	3666
4994	3518
355	2099
2370	4645
4920	4756
2678	3842
2026	259
3721	1879
3415	4063
3453	4318
1483	4826
724	1828
80	4198
72	4719
1377	3936
2445	3861
1176	193
3191	908
3908	1524
2345	3178
3987	2636
4645	4998
2705	567
507	3330
2198	530
1271	3005
2532	784
3096	2821
2833	4770
39	17
4660	1450
4415	1970
75	643
2990	275
2673	1206
1914	1726
219	2081
3695	2953
2596	1795
4488	3683
4645	1678
4972	2383
4965	2624
3223	3360
328	3404
289	1073
2730	155
3506	690
1501	3422
2712	2532
4812	3300
469	791
2184	4919
4794	2574
1184	1960
751	640
3342	1898
3690	2594
3133	4163
3528	367
4948	281
513	1471
2341	3733
3683	1609
2497	4185
2188	4099
4673	348
2688	394
4202	13
2755	1166
4810	267
2248	1630
2057	4939
706	2118
4487	1430
4204	4847
3331	4652
1307	1770
2418	4799
2103	3397
1690	4546
3596	3856
4787	3736
4176	4888
311	510
3231	4785
1017	4290
3839	1693
4808	2953
4695	4857
4381	579
3172	1726
4091	1988
2966	3517
2926	3307
2163	738
1712	399
3764	2998
1070	830
4684	4300
1151	1622
564	64
2810	1520
1398	389
4611	3237
3264	4305
2718	1764
4563	3556
1897	3020
1988	2215
360	2651
976	426
3803	4559
4573	1786
606	2475
2734	1309
393	2287
3276	417
2572	430
1801	3066
1878	4416
3088	4553
966	571
1044	4657
4588	2396
1937	3794
1417	4465
1242	3217
2927	2929
4024	2400
522	1805
1489	1064
3864	3315
171	1134
3954	3492
529	2933
1655	709
3856	742
3286	948
4043	572
2733	1294
4539	4192
4804	571
2225	990
1912	2933
641	3151
1715	4878
4975	859
932	627
716	2769
18	1781
2622	805
786	2053
541	1540
3909	2938
752	3971
4380	3374
1212	2760
2134	2333
1805	184
3502	1125
4222	3263
85	2798
3396	3051
3858	1064
3208	4020
2841	29
2273	424
44	2667
496	2560
2846	4153
1975	4377
2363	2157
4481	3813
2426	2488
3245	1072
302	3245
266	4037
1469	4763
16	4355
4791	4186
601	351
1034	4029
1314	774
1419	457
3964	1818
3271	4029
3483	4224
4287	3852
2247	2517
1663	1532
1458	3910
4188	2980
1310	1568
1509	131
2381	3390
1129	3345
3694	400
3244	4240
1600	3686
1779	2971
3829	2288
508	883
434	813
1950	4536
1656	264
160	727
440	883
552	2544
793	1175
4868	4301
2013	2101
2067	541
520	4030
664	4669
2305	3247
3008	2643
2195	4698
2776	996
326	4001
2699	2124
994	1401
2654	2754
333	2288
2664	3734
1776	3348
1581	4000
1654	2254
2187	4520
3852	1147
4887	2569
3183	81
2016	3533
4513	4181
3553	3929
3190	3729
3511	803
4269	4397
2942	2251
289	3158
3783	1796
4181	3487
3077	4125
829	3976
4020	193
3196	1689
1307	2753
3266	1066
1345	782
964	4574
3597	4458
4570	4331
3365	3463
601	4874
49	4370
1337	1006
4628	551
2895	4571
2696	4019
2652	1930
3310	2754
328	4743
3767	699
3662	860
2300	3649
3960	2485
826	2722
783	4724
2259	5000
408	3018
180	2931
4709	3263
2619	3737
2577	168
218	86
1705	1626
1071	957
639	3317
869	4994
4241	2272
2672	3405
3135	1432
1734	3293
4270	4032
564	2317
2119	2329
4212	1243
469	1655
646	3456
1851	3042
3612	1345
3434	2631
3779	7
760	4893
2093	4476
2058	1284
4192	617
3707	3035
2076	2386
2444	4972
1289	2137
4957	3093
4253	3239
3965	326
2688	846
4795	1062
4303	2195
761	37
3702	4533
3427	1195
3638	4393
2189	2030
4944	3505
217	3460
614	1896
1208	4495
1331	3082
2937	43
157	2191
4016	4083
2481	3770
3790	4482
2488	1847
4052	2016
2666	877
3803	1314
2860	3817
129	377
4772	4884
2110	3207
3239	4855
2391	2412
3475	2402
3907	2541
4674	95
2528	959
4392	3452
1384	875
4458	379
229	2521
2542	2103
3236	4128
4230	2641
3827	899
475	687
3512	1236
2035	1396
1321	3238
1932	1818
1183	261
134	251
4825	1541
4901	2573
1936	4966
2734	4122
3786	4944
2257	3633
4320	4369
1587	2807
1537	839
1185	4259
4260	4219
1198	947
1374	2526
189	630
4509	956
1382	3059
3914	1227
2800	536
1790	3745
3945	1091
3760	795
1470	4414
104	474
2976	4676
1180	4270
4970	1890
2327	816
186	3596
637	3874
224	1026
4699	3946
4242	276
1754	1342
4529	250
2905	191
941	2247
45	3459
1552	647
3967	4874
1285	1089
4696	1062
1984	2255
3289	3909
1097	753
1421	3350
1251	3742
512	1185
2070	3171
350	1172
3495	3258
1298	858
1787	2328
2366	1813
3707	534
3054	163
1844	1134
2254	4330
466	1890
1172	1692
3126	1984
4878	4110
548	4036
2436	3489
4463	3928
4801	3767
447	3013
4704	2381
379	1786
2975	350
4915	1722
241	738
4350	4310
4258	3041
3286	4863
3745	2288
2440	2685
2512	4603
3018	3328
540	356
4062	2727
2260	3407
3948	2371
4724	650
4430	3021
3532	4254
926	1788
1756	2303
1772	3626
2433	3636
4188	3870
4919	1600
4074	3756
3320	2954
2729	4597
2989	2563
229	1117
4028	3235
4826	402
3123	180
1497	2273
1971	3424
4016	4260
1713	4627
2868	2941
2038	1374
675	3894
94	1608
4046	4105
4392	504
4456	4953
2172	1315
4312	2675
2388	177
3903	1238
245	4443
2687	4966
2263	1354
1496	1551
24	2670
1788	1267
1593	829
1058	882
2870	770
233	4932
1521	3725
1755	1518
968	1630
1215	4423
2354	615
4206	2310
2742	765
1848	1560
2344	4332
2092	1706
3160	234
2852	76
4459	4788
4879	26
3061	4288
4093	3626
3769	4398
2944	382
528	900
4324	2640
3355	2187
2779	4011
1902	1828
2998	267
2286	4792
4108	2856
68	2398
40	2230
4558	2936
306	2368
3596	3269
3161	3397
3671	2401
997	4512
1665	4083
4843	3632
3530	3095
292	4465
4238	3619
2992	1961
438	2846
2132	1590
4747	2910
167	1859
1130	3625
1281	3825
413	2138
1878	3348
997	4177
3522	2712
3953	2154
2170	855
1902	1617
3014	277
2649	4828
686	19
3116	3244
3468	2191
3696	2074
3170	3522
4894	4425
1848	2875
3841	4954
1670	4928
1624	3165
2625	746
342	630
223	1616
896	1925
3238	941
189	1121
2249	3658
2295	2610
4303	1893
4292	1025
2982	1025
1522	3035
4533	3967
1002	987
2451	1370
2922	4978
2469	4248
651	1073
1342	4696
4124	2165
3351	230
973	3626
3380	1790
2588	189
1405	2008
2567	4609
4967	3986
309	2082
2160	4291
3867	4573
605	4894
1482	1796
1707	738
3828	4132
541	4582
4515	2395
3571	1840
804	3859
157	2932
3583	2330
4855	4504
4331	2725
1320	327
4946	4826
4750	548
4796	4593
3524	4787
3351	4141
688	2056
1509	234
1335	1998
2870	1981
2243	3513
4141	1652
1891	244
2475	380
3119	2651
1044	3590
915	4857
1454	1797
3112	3321
1309	3643
4924	1873
4788	4464
1539	464
3531	1310
2501	72
450	1308
3245	2285
3882	4853
3467	1755
1371	2603
2298	610
2654	351
3597	181
3893	1579
3758	4423
4342	2169
4054	4251
737	4539
92	3585
2597	761
4539	4244
3938	1418
4330	2313
523	4687
1365	3652
2388	2437
2291	2904
3793	2218
2518	665
1429	4984
950	1784
4454	1296
1930	1041
3165	4757
828	730
1264	3947
4998	2245
556	1224
2994	3244
1224	3313
3027	3274
4939	3521
655	4751
1608	3422
4258	4975
3427	343
1742	3298
4134	4842
3817	3063
919	2555
1482	1208
1382	717
1799	3580
3214	3113
1551	1701
963	2669
3755	1613
3142	2192
1558	3269
2685	1533
3094	288
3039	1136
3788	1129
786	2809
528	4301
2666	2369
1923	3183
2344	2166
4523	3110
2178	3086
1331	3648
1728	1165
1002	3370
1183	834
4000	3789
227	1405
2428	1914
3980	4457
1042	2324
1805	940
2962	2718
3313	2841
2766	4191
4258	3489
4047	4950
4235	2540
3717	1983
1502	2586
1648	3449
3438	2104
332	3174
388	912
615	4806
2693	4997
3573	3708
2867	2455
3192	851
151	3849
3160	117
437	1775
2377	4486
3973	3981
1724	1878
4600	2201
4230	4593
3676	2928
538	1617
3252	2271
3029	4342
3432	157
4554	2899
3503	29
1135	464
2461	1406
3967	4343
758	4711
3727	4158
2160	1897
3349	212
4140	1771
1727	3098
688	4972
1948	4680
2987	3958
1038	4836
1715	4825
3441	380
4487	2983
4364	2504
3689	3249
2509	445
1556	2915
1553	3447
204	4081
2477	1276
2292	3706
2576	2829
1312	1672
696	1514
4688	1719
901	688
2717	2764
829	1153
1529	3562
3266	1638
3552	1560
3153	2731
968	2749
2601	1772
555	1335
912	1247
4944	428
3701	2847
4256	733
2305	4469
1950	1534
1425	4214
4632	4952
1466	260
756	3909
3685	2802
3216	1696
4143	3620
4859	2503
549	2063
1582	2993
3433	2199
3946	4541
1272	1461
466	758
1605	2948
1090	3626
1581	853
2196	3833
2058	4590
3115	4195
1737	787
1800	2373
235	2761
402	2657
638	3838
2235	2188
3743	3897
2927	582
4265	1664
555	947
4533	4058
3373	1740
2755	1051
4757	2419
682	1301
4325	429
2063	1442
782	4401
4350	2041
3579	834
460	30
1536	3192
1384	4964
3910	2704
1091	1213
487	4797
3166	2675
953	2976
2020	3370
4624	1792
1088	2090
4031	4780
3717	1347
4609	2695
2585	94
136	4562
2157	2719
3228	3817
84	1928
458	4907
3702	2430
1918	1119
4482	2772
4694	2907
1893	1731
2293	4902
2276	2652
29	214
3710	1879
2488	828
4912	2650
1798	4439
1051	2705
248	3682
2125	3187
64	3682
1741	992
4649	2057
970	4848
3577	1041
2543	2958
3877	1141
2230	400
4845	2712
2927	2492
2263	4094
3059	1974
1923	403
298	1872
4814	3689
1661	1179
1693	1822
4450	1916
4632	4104
4825	3650
2833	965
3209	4163
2771	4741
3686	1002
4439	14
2360	1749
1224	1148
3104	873
4698	4481
952	4594
4041	1630
1158	515
4037	1053
1246	2394
1141	2303
3037	1775
1642	3612
2305	4143
4372	261
1406	3693
1413	1004
4575	1860
851	3531
3281	2260
1022	4119
939	613
680	3431
4062	3745
3418	4470
4177	1951
3879	4773
2849	216
67	50
801	484
2909	3506
4710	4135
27	4962
4703	1835
4630	4409
1130	338
2020	4424
1518	3536
208	3983
3405	4077
973	912
204	3892
3630	3507
4826	1233
4937	3929
650	1511
649	3562
3444	3771
1854	3789
3865	4901
3875	4980
2100	4883
2845	2635
956	4910
525	2060
2726	4902
4099	850
3100	2432
2412	4526
4839	4053
480	4262
793	2236
329	4900
3635	3636
347	3885
2859	2528
4437	1249
1444	537
2092	972
1803	4510
602	484
790	1391
4233	998
828	4240
2858	3158
1940	4328
3288	4945
2380	3232
989	4907
4981	738
2855	4953
943	4869
2533	790
910	586
331	4936
4608	3697
3994	732
1364	2893
3383	2966
3238	3006
4389	2411
1197	4471
3255	4913
3816	3156
4425	4099
3394	4912
248	1487
1854	3669
1840	4860
1340	929
4100	4415
886	3086
4318	888
3817	1334
2363	4000
1497	2860
4838	170
3353	2673
4107	2200
281	2817
4980	4807
4379	1055
1434	71
4668	2218
819	4817
1810	1442
4521	2131
1820	610
4681	4188
3006	1540
2954	566
1540	4911
832	406
2230	1435
3676	2030
761	585
1955	4230
2916	4437
1782	1574
4653	3548
3884	1433
3133	1450
206	1282
550	3464
3689	1337
4038	856
1090	2555
1845	1649
2681	2971
3433	1106
2510	4841
1338	525
589	43
1061	3317
4354	3885
2591	2743
2212	3954
153	4526
1356	4762
2975	1690
4342	2481
485	2752
4844	2168
877	1752
4109	605
2992	1644
2716	2691
352	217
1845	2005
1674	4647
4984	3391
1790	2993
1124	4164
3184	3767
1359	985
2584	952
3066	103
3399	3380
1685	2931
2845	2544
1032	3180
288	1823
4917	3258
598	1941
3760	2025
1002	2677
3090	4895
1784	1510
4189	1017
3721	2629
4386	231
2111	3057
757	1384
2069	4738
3730	2149
609	2468
3003	1743
3332	125
2341	4847
775	2147
1115	1189
3202	2688
967	1046
3366	3450
697	916
895	4601
454	2294
623	2650
1502	4651
3187	1277
2509	4967
280	2135
1922	1956
3586	2285
2522	701
3266	3960
3387	908
548	2136
89	559
1125	1967
3211	4811
4900	957
1200	4037
3316	1175
2300	366
2545	6
2692	4106
3227	4718
355	1067
387	3564
3742	217
850	2130
4665	2158
3017	4165
751	2929
4992	3969
2791	4197
2500	2786
153	560
3041	3851
2731	3123
61	4350
1995	1914
3870	818
4365	4815
2992	3091
617	3313
2442	3879
2916	717
1642	3110
2398	773
1465	69
4529	2814
4357	255
3706	4413
493	4708
506	924
2486	2576
2383	1920
503	4507
3424	4214
1619	4774
3443	638
4577	1318
4963	3853
3869	4204
614	3018
4115	4871
4168	1264
1539	2549
281	1510
3453	2195
1959	1098
3788	471
2461	1331
1410	1459
200	655
4450	4205
446	4810
2270	1551
4578	1796
2467	1359
3063	1978
2938	4840
2305	3032
112	4116
892	4359
4661	3894
4170	2347
3935	1416
2809	1481
3143	3756
1827	231
85	175
346	4250
654	2818
966	298
3610	3911
2161	1055
1318	4625
2659	1187
3134	4539
2325	4210
4165	2596
3384	644
3220	2214
3805	2817
847	1787
3920	2035
3359	989
4020	3012
2949	820
1416	2371
4339	741
1381	2574
1419	193
1207	333
4099	502
4959	3375
4467	2604
1016	3900
2381	3920
3148	2669
2251	3812
2282	4202
3584	4979
2747	4978
4234	456
352	936
2308	3160
1918	3147
2007	2599
4931	3720
2745	2319
637	4508
1839	1091
3454	4481
4073	790
2092	2231
2983	4106
4562	606
1273	3757
2974	1437
986	977
1262	2821
302	3992
4328	4102
4755	1605
3081	3673
3075	728
3319	1124
3684	1541
2304	3708
3145	1481
3186	3298
1258	1712
3160	2168
2110	3175
4751	1618
4276	3706
2153	1988
3247	3682
965	4051
4673	986
1276	94
3991	3695
94	924
2353	1719
3145	1788
169	1476
721	1214
99	709
2395	1432
2802	4558
4917	1384
1423	3470
2218	1426
793	2837
3531	4065
340	1660
270	3725
4690	1623
2982	912
1226	3071
585	4631
4225	4863
533	2156
4957	998
1613	3676
2049	1818
2102	12
4763	2595
188	4530
3267	4634
3630	169
4907	3566
4394	3360
965	988
1135	1929
1723	954
4891	2283
4144	1561
4078	847
2808	4259
3752	3313
1496	212
4064	490
2789	1671
1015	4418
3001	810
3905	814
2410	4325
978	3517
3921	4142
2031	2066
3003	2553
1999	4660
2917	2637
2766	124
4877	3558
2249	59
1560	3069
3558	4280
2010	2335
1266	1712
4617	4628
1867	4983
2563	1074
4336	997
304	3835
1796	828
1711	873
2478	2774
3328	1006
4367	3311
1546	237
3347	2600
1331	2031
3126	4744
2909	4678
508	1761
2656	3397
1977	796
109	4071
677	348
4955	4921
1514	1933
1839	2125
4507	4979
4328	2896
2895	3055
317	653
3310	1689
1050	4882
1723	3069
4859	920
2459	2983
4444	2137
340	330
4644	3994
4737	3148
2911	4418
4228	1988
1978	649
4737	2271
361	3452
1206	42
1845	3025
2122	775
4415	4734
2272	4266
2384	4954
769	3448
715	2140
1128	2887
78	3592
3058	3828
2128	2620
3876	878
1946	3868
2288	3287
3624	1497
544	4645
1356	4343
2313	2672
2491	1679
3185	1187
2956	3597
379	2311
4685	2497
4629	1825
3752	4120
3731	4282
621	4058
4459	3417
2852	2480
2724	362
3038	2477
1560	647
2179	49
1330	430
4953	1546
3962	3355
1067	4925
4343	3906
244	4104
1518	4938
1725	4206
1064	1265
3824	1422
3074	4138
889	806
1917	2470
900	1544
1203	2971
272	1605
3163	3172
4498	1693
2796	2928
2270	2565
3711	1536
3135	4722
3022	2196
4202	1678
2548	1331
1538	3920
645	2179
3758	3084
705	3376
263	311
4892	2192
2415	283
851	2578
1703	1200
3452	2963
1220	729
3566	462
4405	1502
382	1963
4643	1874
4962	2615
4916	2316
4768	122
2721	4107
2572	3331
3786	1074
2344	448
3550	2769
3168	976
1143	2962
2040	1073
392	1704
944	820
4853	1295
4772	4286
1487	1227
1551	257
4095	2188
3655	314
3586	642
1510	3332
1339	1144
494	3280
254	3488
2685	2160
1602	3800
4085	4362
2359	2085
4687	3619
4626	289
4474	3067
1364	2524
4771	2759
2608	2715
492	1735
4258	110
716	4960
142	380
684	3488
2748	1032
1070	965
3473	387
2359	2496
2503	1314
3532	2962
4859	3387
2149	3747
4142	2050
4301	1724
3976	4670
4576	2968
893	2826
9	3205
3433	2531
302	3314
2624	1940
4598	4025
3121	3002
4066	4379
3541	685
859	925
805	3060
676	384
991	2172
350	2858
2696	4130
1486	1139
3476	1719
4028	4189
3082	1382
3729	593
4924	3771
411	895
3305	230
3144	3618
1959	3717
4726	3626
3166	3762
427	382
1601	2030
1948	4226
2309	1519
1027	3871
3085	4330
581	1376
2824	1819
4313	1344
4127	1409
2231	310
269	378
1764	2758
4927	1399
3291	1578
3548	1380
2250	1776
3348	4059
3863	4424
3760	1600
2633	4765
141	3387
4717	4829
1783	4871
1263	4064
4034	454
2264	2454
2992	1832
3532	3311
4080	1744
3276	1333
4790	2460
3602	4630
4301	2318
2359	4867
3557	3553
3288	4910
1667	4703
4293	1678
1420	2282
581	1195
4437	4123
1798	2133
4980	1921
1788	1542
1009	4247
1431	1593
4396	4976
2272	883
3931	368
3017	697
2056	1022
4910	3049
589	3252
2965	989
3043	1055
1419	613
3234	2137
4327	751
488	3709
968	1734
2553	4901
1375	2109
3477	4098
4489	1128
4988	3040
2653	2732
1701	4983
312	2460
4765	2256
1854	1543
497	3761
3292	3566
1463	4188
3026	869
2545	3362
4415	4006
3472	2706
151	2374
3638	737
3612	4181
3331	2224
289	704
1069	2308
139	3030
335	3504
24	2548
1353	4156
654	290
4963	2338
2127	3205
3903	857
2956	2258
2554	604
4927	1491
2433	4799
4336	1047
602	2077
1598	3631
3230	4734
4717	3719
1004	4728
4499	2290
1392	1466
4895	2792
776	2478
4878	2208
4246	95
797	827
3322	3667
808	1572
2308	612
1135	4095
2815	1984
1083	956
3281	2599
3696	4003
1137	2200
4036	1314
2505	2976
1705	2287
2170	4021
1662	2957
1525	1096
2989	4702
3538	1671
3523	1705
3656	4857
1574	3124
3060	2823
3431	4359
4219	722
1572	414
14	1087
982	173
3468	2315
3065	1440
2307	3990
39	2037
1845	697
1610	303
1166	275
4073	1285
3733	2376
2980	2605
2609	2891
3419	1443
4357	3427
4374	1609
3971	3973
4720	2295
3172	2399
2502	2538
561	1583
4750	3148
4340	2585
1411	3218
2962	2881
3198	782
1246	3456
3651	2109
3872	3731
1777	3876
4028	3487
4943	2227
1594	3313
948	3823
1885	3210
1738	4930
2980	1206
774	4476
2404	1454
2424	2019
675	4623
3356	2438
2668	4144
588	4406
3393	1458
910	2724
3427	3362
3848	961
2452	1174
4170	1546
179	682
6	414
3104	980
4442	3332
3030	2891
1616	827
3356	2004
507	884
616	1467
932	3856
1615	1728
1821	2163
251	3759
4617	3580
4921	2640
1823	4121
4751	2222
1297	4526
839	2715
3307	219
4947	1672
2945	2415
4903	2951
109	4286
1351	204
3952	3447
2339	4536
450	3916
4136	416
691	4412
1669	1030
4293	2177
873	3879
3928	2955
3214	2870
2439	1251
1600	2262
2039	549
2582	169
3544	2667
4843	1697
2245	3555
1594	3306
1618	4146
608	2168
1610	4636
4817	15
3743	1001
4496	2991
4662	1706
4761	4897
2131	4794
2620	4673
4285	1019
2232	1257
1629	858
2287	2139
2166	1622
45	1161
4296	4258
3758	3134
2827	3265
4414	2388
1361	1853
2990	134
4430	2751
4925	343
43	1111
2884	2329
3470	848
4785	928
3853	1562
3997	2834
4647	998
4695	656
1891	774
3312	3413
301	836
3996	3803
818	1412
1380	4478
2084	3125
3269	673
106	464
1761	1661
1949	2194
4495	3235
2104	4497
3710	4031
2339	1724
802	1377
2411	3533
2283	3413
2712	3594
4673	3584
1178	4534
1664	917
3352	742
4559	1305
2787	612
1621	1243
2056	3411
3437	2491
4876	2962
4484	4710
3907	4210
4702	4229
3522	2810
398	3678
4563	485
2455	4297
4372	3826
4593	3
375	2142
2464	4319
4690	4018
2260	120
1250	64
3500	370
2009	4014
2788	3158
1184	1949
534	691
2150	1233
3304	4744
1660	1543
2626	2261
376	3530
2244	4655
4134	4477
4441	1220
2932	2546
42	2578
4580	357
1753	462
56	1982
3593	1670
3469	1276
3024	3250
1297	747
2640	4910
1661	965
3822	354
2074	1475
2876	2344
4426	4815
4639	1764
2538	890
2185	4083
3072	2521
1719	1922
2315	99
2002	21
4973	2380
1186	4653
31	3448
2479	3163
4351	281
3652	2886
2742	1354
46	3653
842	70
74	359
3318	1993
3389	4275
1754	1029
1007	3022
4304	4722
4118	1241
125	1084
3648	3955
726	2015
4920	2568
2467	4094
82	1092
3120	1251
3121	2605
1336	4975
16	1952
1920	2930
3678	3370
4613	1447
1343	2790
650	3420
4518	2518
72	1576
1050	618
2977	716
1119	3971
167	3946
4282	4677
2515	102
4986	2698
4833	4410
4373	4176
1264	2629
818	2749
1786	4792
1938	4310
1546	1277
1373	1508
4963	1390
711	2809
3658	4603
2417	3862
3281	4960
627	1085
755	1348
3111	4596
2808	1532
2910	4740
3377	1852
1609	319
66	2754
1355	3882
4590	299
361	12
3226	1235
4414	390
792	4815
94	2403
1129	2259
587	2000
1651	3087
1597	1636
1992	3107
1174	3093
1252	1839
4989	1841
2210	3319
432	4518
149	3992
1241	2815
3344	917
3614	2509
2922	2541
2882	2968
472	843
4908	1843
78	931
1867	953
3603	72
3650	2981
4749	4351
1925	374
3683	4306
3583	4454
1863	2883
624	4492
4683	4386
3831	3327
4513	750
329	2542
1657	2626
4600	371
4685	2180
3128	4819
2852	140
2852	128
784	433
1261	3674
2218	2725
4224	571
4933	4838
2974	440
4668	164
396	2194
2995	1207
1155	885
3903	1980
4952	2443
873	3468
1192	1903
1076	921
2597	562
2728	131
338	1309
3517	2903
3541	913
4199	249
2266	857
4115	2491
1852	790
3374	218
268	1526
3784	2623
328	2622
1512	3467
2983	2715
4855	2667
1650	2931
3264	989
1132	4339
1654	1208
4920	3759
4855	1040
1818	4088
